"","parameter values"
"(Intercept)",0.753922647402678
"X1552986_at",0.0608399821875604
"X1553176_at",-0.0426470563173003
"X1557553_at",0.0867817278690954
"X1558103_a_at",0.216492036073128
"X1560274_at",-0.0756888455038178
"X1560349_at",0.0177371251617934
"X1561615_s_at",0.412904306975632
"X1566265_at",0.0276341014012657
"X202069_s_at",-0.0258985680102875
"X202516_s_at",-0.264927013982163
"X202783_at",-0.068997898274212
"X203100_s_at",-0.262929056556488
"X203553_s_at",-0.0926942269834225
"X203562_at",-0.0450310193871932
"X205048_s_at",-0.0139424731109346
"X205110_s_at",-0.0122772160578193
"X206111_at",0.137610958427761
"X206288_at",-0.0324699966618517
"X206881_s_at",0.112092625107975
"X209169_at",0.160922435040083
"X209686_at",0.124523938315191
"X210786_s_at",-0.123531679169917
"X211649_x_at",0.462770868186433
"X211748_x_at",-0.217812388791742
"X214157_at",-0.0730478037337543
"X214511_x_at",0.119373170876171
"X215468_at",0.193841995219319
"X216733_s_at",-0.312818752493152
"X217281_x_at",-0.345699598891647
"X217317_s_at",-0.342778373631501
"X217475_s_at",-0.221924103995424
"X218232_at",0.0132359915348498
"X219298_at",0.165315656322364
"X220785_at",-0.0421313376334072
"X221491_x_at",0.0639945463365758
"X222361_at",-0.00551690490306145
"X222697_s_at",-0.0967469000511267
"X223519_at",0.0647581665084337
"X223609_at",0.301254437043982
"X223767_at",-0.0681420438493686
"X224559_at",0.0690525527858763
"X224589_at",-0.173530716893824
"X227474_at",0.349464083217649
"X229249_at",-0.0668670302003791
"X229963_at",0.0377496269671027
"X231274_s_at",0.0296623349713681
"X231954_at",-1.1406771034134
"X233816_at",0.0561490492713486
"X235036_at",-0.047623874717457
"X236191_at",-0.323579174921131
"X236422_at",0.128026779957357
"X236988_x_at",0.152955718544292
"X237120_at",-0.134012342372884
"X237689_at",-0.180296744891079
"X239040_at",0.565613362812037
"X240608_at",-0.138930580535148
"X242077_x_at",0.45481565492087
"X243469_at",0.015101646465618
